Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
.NET 8 esencial,"Este curso está diseñado para especialistas con conocimientos previos en .NET y C# que deseen aprovechar al máximo las nuevas características de .NET 8. Aprenderás a utilizar esta plataforma de desarrollo de manera efectiva, explorando sus herramientas y las razones que hacen que .NET 8 sea tan relevante en la historia de esta tecnología. Desde una introducción a .NET 8 hasta las mejoras en C# 12, este curso te proporcionará una visión completa y práctica de las características más destacadas de esta plataforma.",Course,2026-03-24 16:11 UTC,N/A,false,N/A,
Excel: Evitar errores comunes (Microsoft 365),"Aprende a evitar errores comunes en Excel, sin importar tu nivel o sector profesional. Este curso te proporciona prácticas clave para potenciar tu trabajo en Excel, evitando malas costumbres que pueden afectar a tu productividad a largo plazo. Descubre cómo planificar la organización de datos, escribir y gestionar información, importar datos desde Power Query y aplicar formatos de manera efectiva. Opta por una experiencia de Excel más potente y sin errores.",Course,2024-02-26 15:11 UTC,N/A,false,N/A,
JavaScript avanzado: Buenas prácticas,"Las buenas prácticas son un conjunto de recomendaciones basadas en las rutinas de otros desarrolladores y gracias a ellas, tu trabajo será más comprensible, mejor organizado y tendrá un mejor rendimiento. En este curso conocerás las buenas prácticas más populares y eficaces, que harán que tu trabajo como desarrollador usando JavaScript mejore y sea más práctico al trabajar en una nueva aplicación web. Estas buenas prácticas se convertirán en el set de acciones que incorporarás en cada proyecto web y que ayudarán a que tu código sea mejor.",Course,2019-05-26 17:58 UTC,N/A,false,N/A,
